Transcript	Intron_No	Beg	End
GA10058-RC 	 5	 9629579	 9629635	1
GA10058-RC 	 6	 9630020	 9630076	1
GA10058-RC 	 7	 9630232	 9630302	1
GA10058-RC 	 8	 9630424	 9630492	1
GA10058-RC 	 9	 9630578	 9630643	1
GA10058-RC 	10	 9631327	 9631395	1
GA10075-RA 	 1	12692153	12692292	1
GA10076-RA 	 1	 1184445	 1188223	1
GA10076-RA 	 2	 1188587	 1188654	1
GA10076-RA 	 3	 1188847	 1188907	1
GA10078-RB 	 1	12709056	12709337	2
GA10078-RB 	 2	12709572	12712394	2
GA10079-RA 	 1	12062221	12062280	2
GA10079-RA 	 2	12062457	12062517	2
GA10079-RA 	 3	12063722	12075277	2
GA10080-RA 	 1	12057207	12057272	1
GA10080-RA 	 2	12057846	12057907	1
GA10080-RA 	 3	12058394	12058457	1
GA10081-RB 	 1	12044940	12045853	1
GA10084-RA 	 1	11964050	11964112	1
GA10084-RA 	 2	11964430	11964494	1
GA10084-RA 	 3	11964825	11964902	1
GA10084-RA 	 4	11965054	11965110	1
GA10084-RA 	 5	11965215	11983886	1
GA10084-RA 	 6	11984007	11985264	1
GA10084-RA 	 7	11985392	11985484	1
GA10084-RA 	 8	11985560	11995711	1
GA10084-RA 	 9	11995865	12026709	1
GA10086-RB 	 1	11972390	11974236	1
GA10086-RB 	 2	11974832	11974897	1
GA10086-RB 	 3	11975707	11975773	1
GA10089-RA 	 1	11946405	11946467	2
GA10089-RA 	 2	11946568	11946629	2
GA10089-RA 	 3	11946757	11946816	2
GA10089-RA 	 4	11947022	11947081	2
GA10089-RA 	 5	11948010	11948069	2
GA10089-RA 	 6	11948356	11948415	2
GA10089-RA 	 7	11948910	11948968	2
GA10089-RA 	 8	11950335	11950402	2
GA10089-RA 	 9	11950767	11950828	2
GA10094-RB 	 1	11941882	11941946	1
GA10094-RB 	 2	11941997	11942051	1
GA10094-RB 	 3	11942142	11943056	1
GA10094-RB 	 4	11943196	11943255	1
GA10094-RB 	 5	11943400	11943639	1
GA10094-RB 	 6	11943816	11943869	1
GA10094-RB 	 7	11944100	11944165	1
GA10096-RA 	 1	11922764	11922841	1
GA10096-RA 	 2	11923054	11923109	1
GA10097-RA 	 1	11910511	11910566	1
GA10105-RA 	 1	 1865876	 1865930	1
GA10105-RA 	 2	 1866245	 1866315	1
GA10105-RA 	 3	 1866883	 1866947	1
GA10106-RA 	 1	11878788	11878850	1
GA10108-RB 	 1	11823649	11852194	1
GA10108-RB 	 2	11852593	11852722	1
GA10108-RB 	 3	11852945	11857212	1
GA10108-RB 	 4	11857405	11857452	1
GA10108-RB 	 5	11857491	11863676	1
GA10108-RB 	 6	11864142	11864229	1
GA10109-RA 	 1	11775390	11775456	1
GA10113-RB 	 1	11769280	11769778	1
GA10113-RB 	 2	11771408	11771467	1
GA10113-RB 	 3	11771542	11771606	1
GA10115-RA 	 1	11766313	11766378	1
GA10115-RA 	 2	11766689	11766742	1
GA10117-RA 	 1	11756739	11759617	2
GA10117-RA 	 2	11759796	11759866	2
GA10117-RA 	 3	11760036	11760757	2
GA10117-RA 	 4	11760914	11760988	2
GA10120-RA 	 1	12196648	12197716	1
GA10150-RA 	 1	12155818	12155878	1
GA10150-RA 	 2	12156132	12156554	1
GA10151-RA 	 1	12145522	12145586	1
GA10153-RA 	 1	12129826	12130041	1
GA10155-RA 	 1	12113015	12113200	1
GA10155-RA 	 2	12113428	12113554	1
GA10155-RA 	 3	12113801	12113859	1
GA10155-RA 	 4	12114316	12114381	1
GA10155-RA 	 5	12114515	12114573	1
GA10155-RA 	 6	12114816	12114881	1
GA10157-RA 	 1	12110290	12110596	1
GA10157-RA 	 2	12110753	12110814	1
GA10161-RA 	 1	12105764	12105823	1
GA10161-RA 	 2	12106136	12106197	1
GA10161-RA 	 3	12106928	12106994	1
GA10161-RA 	 4	12107423	12107490	1
GA10161-RA 	 5	12107761	12107823	1
GA10161-RA 	 6	12108018	12108084	1
GA10163-RA 	 1	14324393	14324468	1
GA10166-RA 	 1	15136922	15136980	1
GA10166-RA 	 2	15137118	15137176	1
GA10166-RA 	 3	15137375	15137429	1
GA10166-RA 	 4	15138266	15138315	1
GA10183-RA 	 1	 6607964	 6608027	1
GA10189-RA 	 1	 6617690	 6617752	1
GA10190-RA 	 1	 6619684	 6619746	1
GA10197-RA 	 1	 6657318	 6657379	1
GA10197-RA 	 2	 6657516	 6657578	1
GA10197-RA 	 3	 6657869	 6657927	1
GA10197-RA 	 4	 6659719	 6659782	1
GA10198-RA 	 1	 6663659	 6663737	1
GA10198-RA 	 2	 6663804	 6663993	1
GA10198-RA 	 3	 6664291	 6664349	1
GA10204-RB 	 1	 8293640	 8293695	1
GA10235-RC 	 1	14122509	14122578	1
GA10235-RC 	 2	14123164	14123216	1
GA10239-RA 	 1	14613820	14613955	1
GA10239-RA 	 2	14614568	14614616	1
GA10239-RA 	 3	14615190	14615249	1
GA10241-RA 	 1	14104337	14104529	1
GA10242-RA 	 1	14089250	14089314	1
GA10254-RA 	 1	 9416455	 9416566	1
GA10260-RA 	 1	14818535	14818601	1
GA10289-RA 	 1	14868735	14868805	1
GA10289-RA 	 2	14868941	14869004	1
GA10289-RA 	 3	14869515	14869576	1
GA10289-RA 	 4	14870060	14870587	1
GA10291-RF 	 1	14775771	14775839	2
GA10291-RF 	 2	14775997	14776074	2
GA10291-RF 	 3	14776327	14776509	2
GA10291-RF 	 4	14777045	14779654	2
GA10291-RF 	 5	14779919	14779996	2
GA10291-RF 	 6	14780083	14784293	2
GA10291-RF 	 7	14784377	14784682	2
GA10297-RA 	 1	   14986	   15042	1
GA10315-RA 	 1	15779906	15780162	1
GA10315-RA 	 2	15780313	15780377	1
GA10319-RA 	 1	15735605	15735721	1
GA10319-RA 	 2	15736222	15736344	1
GA10319-RA 	 3	15736453	15744850	1
GA10319-RA 	 4	15744914	15745474	1
GA10327-RA 	 1	14290528	14290591	1
GA10330-RA 	 1	   24321	   24377	1
GA10330-RA 	 2	   24793	   54731	1
GA10330-RA 	 3	   54887	   69368	1
GA10355-RE 	 1	15558050	15558124	1
GA10355-RE 	 2	15558290	15561131	1
GA10355-RE 	 3	15561705	15562331	1
GA10355-RE 	 4	15562474	15577408	1
GA10355-RE 	 5	15577541	15652032	1
GA10359-RA 	 1	13428328	13428839	2
GA10359-RA 	 2	13429071	13429127	2
GA10359-RA 	 3	13431518	13431583	2
GA10359-RA 	 4	13432533	13432597	2
GA10372-RA 	 1	17595873	17595935	1
GA10372-RA 	 2	17596338	17597402	1
GA10376-RA 	 1	17593961	17594026	1
GA10376-RA 	 2	17594469	17594523	1
GA10380-RA 	 1	17158545	17158598	1
GA10380-RA 	 2	17158703	17158756	1
GA10380-RA 	 3	17158822	17158874	1
GA10384-RA 	 1	17578859	17579081	1
GA10384-RA 	 2	17579252	17579307	1
GA10479-RA 	 1	 5677756	 5677811	1
GA10479-RA 	 2	 5678694	 5678754	1
GA10531-RT 	 1	 3237642	 3237719	1
GA10531-RT 	 2	 3237843	 3238326	1
GA10531-RT 	 3	 3238429	 3238492	1
GA10531-RT 	 4	 3238673	 3238733	1
GA10531-RT 	 5	 3238944	 3239515	1
GA10531-RT 	 6	 3239728	 3239803	1
GA10531-RT 	 7	 3240222	 3240353	1
GA10531-RT 	 8	 3240381	 3240616	1
GA10531-RT 	 9	 3240854	 3240980	1
GA10531-RT 	10	 3241459	 3242324	1
GA10531-RT 	11	 3242485	 3242543	1
GA10531-RT 	12	 3242652	 3242716	1
GA10531-RT 	13	 3242873	 3243952	1
GA10543-RA 	 1	12277286	12277340	1
GA10543-RA 	 2	12277420	12277478	1
GA10563-RA 	 1	11243628	11243687	1
GA10564-RA 	 1	19401103	19401162	1
GA10572-RA 	 1	 7721047	 7721625	1
GA10572-RA 	 2	 7721858	 7721923	1
GA10572-RA 	 3	 7722064	 7722130	1
GA10572-RA 	 4	 7722303	 7722367	1
GA10576-RA 	 1	  645842	  645920	1
GA10593-RE 	 1	 7245722	 7247308	1
GA10593-RE 	 2	 7247513	 7247835	1
GA10593-RE 	 3	 7247848	 7248494	1
GA10593-RE 	 4	 7248573	 7248640	1
GA10593-RE 	 5	 7249030	 7249093	1
GA10593-RE 	 6	 7249619	 7249688	1
GA10593-RE 	 7	 7249814	 7249869	1
GA10593-RE 	 8	 7251293	 7251359	1
GA10593-RE 	 9	 7251964	 7252485	1
GA10593-RE 	10	 7252586	 7254088	1
GA10593-RE 	11	 7254294	 7254357	1
GA10593-RE 	12	 7255118	 7255174	1
GA10593-RE 	13	 7256347	 7256570	1
GA10593-RE 	14	 7256766	 7256844	1
GA10593-RE 	15	 7256961	 7257040	1
GA10593-RE 	16	 7259320	 7259390	1
GA10593-RE 	17	 7259871	 7260121	1
GA10593-RE 	18	 7260260	 7260429	1
GA10593-RE 	19	 7260717	 7260787	1
GA10593-RE 	20	 7262886	 7263077	1
GA10593-RE 	21	 7263191	 7263966	1
GA10593-RE 	22	 7264313	 7264380	1
GA10593-RE 	23	 7264402	 7264497	1
GA10593-RE 	24	 7264799	 7265087	1
GA10593-RE 	25	 7265223	 7265278	1
GA10593-RE 	26	 7265699	 7265769	1
GA10593-RE 	27	 7265972	 7266034	1
GA10623-RD 	 1	12408913	12408990	1
GA10623-RD 	 2	12409237	12409619	1
GA10623-RD 	 3	12410120	12410178	1
GA10623-RD 	 4	12410892	12410955	1
GA10623-RD 	 5	12412292	12412367	1
GA10623-RD 	 6	12412641	12412760	1
GA10623-RD 	 7	12413118	12413180	1
GA10623-RD 	 8	12413247	12413336	1
GA10623-RD 	 9	12413382	12413633	1
GA10623-RD 	10	12413676	12413739	1
GA10623-RD 	11	12418165	12419147	1
GA10623-RD 	12	12419714	12420018	1
GA10623-RD 	13	12420454	12420530	1
GA10623-RD 	14	12421186	12421248	1
GA10623-RD 	15	12421371	12421451	1
GA10629-RA 	 1	 9540659	 9540721	1
GA10635-RA 	 1	10669009	10669081	1
GA10636-RA 	 1	10664429	10664487	1
GA10637-RA 	 1	10600910	10601272	1
GA10639-RB 	 1	10420210	10420751	1
GA10639-RB 	 2	10420889	10420952	1
GA10639-RB 	 3	10421140	10421197	1
GA10647-RA 	 1	 9065919	 9071354	1
GA10653-RB 	 1	 4034073	 4056100	1
GA10653-RB 	 2	 4056343	 4059098	1
GA10653-RB 	 3	 4059366	 4061199	1
GA10653-RB 	 4	 4064377	 4064443	1
GA10653-RB 	 5	 4064760	 4064819	1
GA10653-RB 	 6	 4064951	 4065003	1
GA10653-RB 	 7	 4065172	 4065235	1
GA10654-RA 	 1	12310879	12310941	1
GA10665-RA 	 1	14873020	14873082	1
GA10665-RA 	 2	14874259	14874324	1
GA10665-RA 	 3	14875256	14875394	1
GA10679-RB 	 1	14815986	14816047	1
GA10679-RB 	 2	14816634	14816686	1
GA10679-RB 	 3	14816776	14816831	1
GA10679-RB 	 4	14816948	14817007	1
GA10679-RB 	 5	14817290	14817352	1
GA10679-RB 	 6	14817554	14817601	1
GA10702-RA 	 1	 3345858	 3346007	1
GA10702-RA 	 2	 3346079	 3346136	1
GA10710-RB 	 1	 6024354	 6024408	1
GA10723-RA 	 1	 6511305	 6515952	1
GA10723-RA 	 2	 6516006	 6516055	1
GA10723-RA 	 3	 6516288	 6516346	1
GA10723-RA 	 4	 6516558	 6516622	1
GA10726-RA 	 1	17733339	17733404	1
GA10726-RA 	 2	17733927	17733986	1
GA10726-RA 	 3	17735058	17735113	1
GA10731-RA 	 1	14587005	14587078	1
GA10731-RA 	 2	14587205	14587269	1
GA10733-RB 	 1	19351080	19351162	1
GA10733-RB 	 2	19352192	19352265	1
GA10733-RB 	 3	19352779	19352833	1
GA10737-RA 	 1	  199373	  202576	1
GA10737-RA 	 2	  202766	  208232	1
GA10737-RA 	 3	  208988	  209057	1
GA10737-RA 	 4	  209211	  209273	1
GA10737-RA 	 5	  209543	  209601	1
GA10744-RB 	 1	19382146	19386218	1
GA10744-RB 	 2	19389033	19389088	1
GA10745-RB 	 1	12083237	12083298	1
GA10745-RB 	 2	12083555	12083636	1
GA10748-RC 	 1	 1354088	 1377895	1
GA10748-RC 	 2	 1378503	 1380020	1
GA10748-RC 	 3	 1380135	 1381225	1
GA10748-RC 	 4	 1381355	 1381441	1
GA10748-RC 	 5	 1381646	 1381713	1
GA10758-RA 	 1	17737186	17737368	1
GA10758-RA 	 2	17737681	17737748	1
GA10758-RA 	 3	17737897	17737962	1
GA10758-RA 	 4	17738146	17738219	1
GA10760-RA 	 1	 1445494	 1455684	1
GA10760-RA 	 2	 1458187	 1458260	1
GA10760-RA 	 3	 1458425	 1458478	1
GA10760-RA 	 4	 1458602	 1458654	1
GA10760-RA 	 5	 1459324	 1459394	1
GA10760-RA 	 6	 1459556	 1459619	1
GA10760-RA 	 7	 1459762	 1459837	1
GA10763-RB 	 1	 1549710	 1549774	1
GA10763-RB 	 2	 1550599	 1550659	1
GA10763-RB 	 3	 1551134	 1551198	1
GA10763-RB 	 4	 1551463	 1552043	1
GA10763-RB 	 5	 1552167	 1552240	1
GA10763-RB 	 6	 1552595	 1552655	1
GA10765-RA 	 1	 8455683	 8455744	1
GA10770-RA 	 1	 1618816	 1618907	1
GA10770-RA 	 2	 1619119	 1619241	1
GA10770-RA 	 3	 1619370	 1619632	1
GA10770-RA 	 4	 1619738	 1619995	1
GA10770-RA 	 5	 1620052	 1627545	1
GA10772-RA 	 1	 1631986	 1632039	1
GA10773-RA 	 1	 1634283	 1634349	1
GA10774-RA 	 1	10374237	10374307	1
GA10774-RA 	 2	10374777	10374831	1
GA10774-RA 	 3	10375128	10375186	1
GA10774-RA 	 4	10375346	10375404	1
GA10776-RC 	 1	 5737773	 5737953	1
GA10782-RA 	 1	 8458430	 8458489	1
GA10782-RA 	 2	 8458880	 8458939	1
GA10782-RA 	 3	 8459530	 8459584	1
GA10782-RA 	 4	 8459740	 8459805	1
GA10784-RB 	 1	 8461426	 8471545	1
GA10784-RB 	 2	 8471952	 8472022	1
GA10784-RB 	 3	 8473211	 8473276	1
GA10784-RB 	 4	 8473424	 8473489	1
GA10784-RB 	 5	 8473576	 8473636	1
GA10787-RA 	 1	 5734866	 5734932	1
GA10787-RA 	 2	 5735106	 5735171	1
GA10787-RA 	 3	 5735601	 5735672	1
GA10787-RA 	 4	 5736021	 5736078	1
GA10789-RA 	 1	10385710	10385773	1
GA10789-RA 	 2	10386853	10386907	1
GA10789-RA 	 3	10387193	10387310	1
GA10804-RB 	 1	 8470411	 8470495	1
GA10804-RB 	 2	 8470585	 8470638	1
GA10814-RC 	 1	19289964	19290144	1
GA10816-RA 	 1	  246023	  246094	1
GA10817-RB 	 1	 8442377	 8442445	1
GA10817-RB 	 2	 8442686	 8443330	1
GA10822-RA 	 1	 1718462	 1719181	1
GA10822-RA 	 2	 1719373	 1719501	1
GA10824-RA 	 1	 1729453	 1729517	1
GA10828-RA 	 1	11555372	11555570	1
GA10830-RB 	 1	11559845	11559920	1
GA10830-RB 	 2	11560136	11560989	1
GA10830-RB 	 3	11561523	11561597	1
GA10831-RA 	 1	11562773	11562830	1
GA10832-RA 	 1	11572485	11572633	1
GA10832-RA 	 2	11572972	11573046	1
GA10832-RA 	 3	11573169	11573991	1
GA10832-RA 	 4	11574265	11574465	1
GA10832-RA 	 5	11574833	11576272	1
GA10832-RA 	 6	11576562	11576623	1
GA10832-RA 	 7	11580358	11580429	1
GA10832-RA 	 8	11580733	11580793	1
GA10832-RA 	 9	11580965	11581028	1
GA10832-RA 	10	11581458	11581513	1
GA10832-RA 	11	11582384	11582453	1
GA10832-RA 	12	11582802	11582866	1
GA10832-RA 	13	11583002	11583080	1
GA10835-RC 	 1	 3195239	 3195302	1
GA10835-RC 	 2	 3195685	 3196498	1
GA10835-RC 	 3	 3196607	 3196677	1
GA10839-RA 	 1	 8369993	 8370058	1
GA10840-RD 	 1	14903289	14903713	2
GA10840-RD 	 2	14904291	14906542	2
GA10840-RD 	 3	14906834	14907572	2
GA10840-RD 	 4	14908470	14908531	2
GA10840-RD 	 5	14908593	14908667	2
GA10840-RD 	 6	14908871	14908939	2
GA10840-RD 	 7	14909435	14909502	2
GA10840-RD 	 8	14909665	14909734	2
GA10840-RD 	 9	14909880	14912866	2
GA10840-RD 	10	14912979	14913616	2
GA10840-RD 	11	14913641	14913701	2
GA10842-RA 	 1	17730140	17730789	1
GA10842-RA 	 2	17730986	17731055	1
GA10842-RA 	 3	17732296	17732360	1
GA10844-RA 	 1	 9260878	 9260933	1
GA10845-RA 	 1	17999475	17999541	1
GA10845-RA 	 2	17999651	17999710	1
GA10849-RA 	 1	 6093867	 6093927	1
GA10852-RA 	 1	10504960	10505023	1
GA10856-RA 	 1	10508967	10509030	1
GA10856-RA 	 2	10509757	10509833	1
GA10856-RA 	 3	10510447	10510510	1
GA10856-RA 	 4	10511088	10511154	1
GA10856-RA 	 5	10511438	10511504	1
GA10856-RA 	 6	10511686	10511746	1
GA10856-RA 	 7	10512831	10512886	1
GA10856-RA 	 8	10513257	10513311	1
GA10860-RA 	 1	10594530	10594588	1
GA10860-RA 	 2	10594711	10594778	1
GA10860-RA 	 3	10595148	10595236	1
GA10870-RA 	 1	14285477	14285542	1
GA10893-RB 	 1	 9386706	 9386768	1
GA10893-RB 	 2	 9390655	 9390841	1
GA10893-RB 	 3	 9391062	 9391114	1
GA10893-RB 	 4	 9392155	 9392213	1
GA10893-RB 	 5	 9392304	 9392365	1
GA10893-RB 	 6	 9393234	 9393700	1
GA10895-RB 	 1	 2772332	 2772412	1
GA10895-RB 	 2	 2772496	 2772574	1
GA10895-RB 	 3	 2772728	 2772808	1
GA10897-RA 	 1	 2756762	 2757122	1
GA10899-RC 	 1	 2724328	 2724391	2
GA10899-RC 	 2	 2724503	 2724568	2
GA10899-RC 	 3	 2724753	 2724812	2
GA10899-RC 	 4	 2725132	 2725194	2
GA10899-RC 	 5	 2725664	 2725742	2
GA10899-RC 	 6	 2725926	 2728293	2
GA10901-RA 	 1	14837276	14837333	1
GA10902-RA 	 1	 1709194	 1709947	1
GA10902-RA 	 2	 1710137	 1710220	1
GA10902-RA 	 3	 1710407	 1710460	1
GA10902-RA 	 4	 1710662	 1710730	1
GA10909-RA 	 1	 8628726	 8629107	1
GA10909-RA 	 2	 8630896	 8631054	1
GA10982-RA 	 1	18586364	18586436	1
GA10982-RA 	 2	18586596	18589712	1
GA10982-RA 	 3	18589798	18589886	1
GA10988-RA 	 1	17255161	17255227	1
GA10988-RA 	 2	17255426	17255488	1
GA10988-RA 	 3	17256711	17256764	1
GA10988-RA 	 4	17257329	17257392	1
GA10988-RA 	 5	17257539	17257595	1
GA10990-RC 	 1	17252405	17252460	1
GA10990-RC 	 2	17253905	17253961	1
GA10990-RC 	 3	17254261	17254319	1
GA10993-RA 	 1	12218600	12218659	1
GA11023-RA 	 1	15534211	15534264	1
GA11023-RA 	 2	15535132	15535184	1
GA11023-RA 	 3	15535282	15535356	1
GA11023-RA 	 4	15535463	15535588	1
GA11026-RA 	 1	 2044035	 2044090	1
GA11141-RA 	 1	 5051277	 5051366	1
GA11141-RA 	 2	 5051881	 5052348	1
GA11141-RA 	 3	 5052668	 5052737	1
GA11141-RA 	 4	 5053426	 5053486	1
GA11181-RA 	 1	16240381	16240540	1
GA11181-RA 	 2	16240653	16240705	1
GA11181-RA 	 3	16240794	16240846	1
GA11181-RA 	 4	16240944	16240999	1
GA11181-RA 	 5	16241116	16241180	1
GA11183-RC 	 1	16282617	16282685	1
GA11183-RC 	 2	16282798	16282867	1
GA11183-RC 	 3	16283262	16283324	1
GA11183-RC 	 4	16283546	16283612	1
GA11183-RC 	 5	16283765	16283829	1
GA11183-RC 	 6	16283943	16284004	1
GA11183-RC 	 7	16284187	16284254	1
GA11183-RC 	 8	16284446	16284519	1
GA11183-RC 	 9	16284685	16285072	1
GA11192-RB 	 1	16249879	16249946	1
GA11192-RB 	 2	16250184	16250243	1
GA11193-RB 	 1	 3028703	 3028758	2
GA11193-RB 	 2	 3029057	 3029132	2
GA11193-RB 	 3	 3029898	 3029953	2
GA11193-RB 	 4	 3030282	 3030345	2
GA11193-RB 	 5	 3030527	 3030590	2
GA11198-RA 	 1	 3073660	 3073722	1
GA11198-RA 	 2	 3073772	 3073844	1
GA11199-RA 	 1	 3174987	 3175045	1
GA11199-RA 	 2	 3176186	 3176236	1
GA11204-RA 	 1	 6087999	 6088066	1
GA11205-RD 	 1	 8178719	 8179019	1
GA11205-RD 	 2	 8179329	 8179627	1
GA11205-RD 	 3	 8179829	 8180015	1
GA11205-RD 	 4	 8181039	 8181112	1
GA11205-RD 	 5	 8181670	 8181753	1
GA11210-RA 	 1	 7338938	 7339005	1
GA11210-RA 	 2	 7339446	 7339511	1
GA11210-RA 	 3	 7339757	 7339814	1
GA11210-RA 	 4	 7340268	 7340331	1
GA11210-RA 	 5	 7340463	 7340544	1
GA11211-RB 	 1	11675191	11675248	1
GA11211-RB 	 2	11675483	11676471	1
GA11211-RB 	 3	11677334	11677395	1
GA11212-RA 	 1	11690653	11690718	1
GA11246-RA 	 1	 5464261	 5464334	1
GA11246-RA 	 2	 5464643	 5464709	1
GA11246-RA 	 3	 5464909	 5464975	1
GA11246-RA 	 4	 5465225	 5465898	1
GA11258-RE 	 1	16109633	16109704	1
GA11258-RE 	 2	16109776	16109852	1
GA11258-RE 	 3	16109949	16110008	1
GA11258-RE 	 4	16110249	16110316	1
GA11258-RE 	 5	16110832	16110892	1
GA11258-RE 	 6	16111457	16111515	1
GA11258-RE 	 7	16111603	16111668	1
GA11258-RE 	 8	16112231	16112563	1
GA11258-RE 	 9	16112787	16112874	1
GA11261-RA 	 1	16102069	16102130	1
GA11261-RA 	 2	16102629	16102685	1
GA11261-RA 	 3	16102990	16103053	1
GA11261-RA 	 4	16103612	16103668	1
GA11261-RA 	 5	16104450	16104504	1
GA11265-RB 	 1	16045824	16046540	2
GA11265-RB 	 2	16046606	16047167	2
GA11265-RB 	 3	16047175	16048001	2
GA11265-RB 	 4	16049901	16049962	2
GA11265-RB 	 5	16057302	16058031	2
GA11272-RC 	 1	 3342771	 3342827	1
GA11272-RC 	 2	 3343006	 3343139	1
GA11272-RC 	 3	 3343471	 3343528	1
GA11272-RC 	 4	 3344264	 3344323	1
GA11291-RH 	 1	 3303029	 3303110	1
GA11291-RH 	 2	 3303557	 3303616	1
GA11291-RH 	 3	 3303770	 3303830	1
GA11291-RH 	 4	 3304190	 3304254	1
GA11291-RH 	 5	 3304386	 3305676	1
GA11291-RH 	 6	 3305852	 3305907	1
GA11291-RH 	 7	 3305958	 3306269	1
GA11291-RH 	 8	 3309273	 3309502	1
GA11291-RH 	 9	 3309725	 3309845	1
GA11291-RH 	10	 3309948	 3310060	1
GA11291-RH 	11	 3310223	 3310475	1
GA11291-RH 	12	 3310587	 3310653	1
GA11297-RB 	 1	 9659243	 9659301	1
GA11297-RB 	 2	 9659395	 9659457	1
GA11297-RB 	 3	 9659648	 9659711	1
GA11297-RB 	 4	 9659815	 9659870	1
GA11297-RB 	 5	 9659971	 9660032	1
GA11297-RB 	 6	 9660362	 9660428	1
GA11297-RB 	 7	 9660610	 9660677	1
GA11297-RB 	 8	 9661062	 9661124	1
GA11297-RB 	 9	 9661486	 9661546	1
GA11297-RB 	10	 9662215	 9662986	1
GA11297-RB 	11	 9663197	 9663834	1
GA11400-RA 	 1	10521792	10521873	1
GA11400-RA 	 2	10521978	10522041	1
GA11404-RA 	 1	18079627	18083137	1
GA11404-RA 	 2	18083730	18083783	1
GA11404-RA 	 3	18084280	18084347	1
GA11404-RA 	 4	18085125	18085177	1
GA11404-RA 	 5	18086515	18086577	1
GA11404-RA 	 6	18086704	18086759	1
GA11404-RA 	 7	18087098	18087169	1
GA11404-RA 	 8	18087415	18087480	1
GA11422-RA 	 1	10939951	10940023	1
GA11423-RA 	 1	10938292	10938346	1
GA11423-RA 	 2	10938612	10938669	1
GA11423-RA 	 3	10938767	10938816	1
GA11425-RB 	 1	 4264154	 4264666	1
GA11425-RB 	 2	 4265183	 4265253	1
GA11425-RB 	 3	 4265754	 4265810	1
GA11425-RB 	 4	 4266052	 4266108	1
GA11425-RB 	 5	 4266293	 4266518	1
GA11426-RA 	 1	 4260354	 4260418	1
GA11426-RA 	 2	 4260556	 4260626	1
GA11426-RA 	 3	 4260925	 4260988	1
GA11426-RA 	 4	 4261109	 4261313	1
GA11426-RA 	 5	 4261403	 4261565	1
GA11428-RA 	 1	 4258341	 4258393	1
GA11428-RA 	 2	 4259367	 4259417	1
GA11432-RA 	 1	 4320258	 4320315	1
GA11432-RA 	 2	 4320766	 4320828	1
GA11432-RA 	 3	 4321401	 4321472	1
GA11432-RA 	 4	 4321700	 4321920	1
GA11434-RA 	 1	 1198895	 1201795	1
GA11434-RA 	 2	 1201961	 1202021	1
GA11434-RA 	 3	 1202199	 1202260	1
GA11434-RA 	 4	 1202435	 1202495	1
GA11435-RA 	 1	 1210058	 1210696	1
